City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Hasaki,JP,75.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
12,Puerto Ayora,EC,71.91,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Hilo,US,74.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
17,Rikitea,PF,77.59,light rain,-23.1203,-134.9692,People ThankYou
18,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
20,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Isla Mujeres,MX,80.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
23,Atuona,PF,79.23,overcast clouds,-9.8,-139.0333,Villa Enata
28,Shimoda,JP,70.16,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
29,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
31,Catuday,PH,83.8,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
34,Dabhol,IN,88.05,clear sky,17.6,73.1667,Ashwamedh Resort
35,Arraial Do Cabo,BR,75.11,clear sky,-22.9661,-42.0278,Pousada Porto Praia
36,Cockburn Town,TC,77.79,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
38,Denpasar,ID,87.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
39,Isangel,VU,84.31,clear sky,-19.55,169.2667,Tanna Lodge
40,Tahta,EG,72.32,scattered clouds,26.7693,31.5021,فندق الزيات
45,Manicore,BR,74.73,overcast clouds,-5.8092,-61.3003,Hotel Durval
47,Acajutla,SV,83.41,light rain,13.5928,-89.8275,Laureles
50,Pandan,PH,86.49,scattered clouds,14.0453,124.1694,Bonifacio Lodge
55,Dingle,PH,88.16,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
56,Abnub,EG,71.82,broken clouds,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
58,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Gusau,NG,83.3,overcast clouds,12.1628,6.6614,GUEST INN
70,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
72,Vengurla,IN,88.07,broken clouds,15.8667,73.6333,Golven Resort
73,Namatanai,PG,84.72,light rain,-3.6667,152.4333,Seagulls Inn Namatani
80,Flinders,AU,78.19,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
82,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
89,San Patricio,US,80.46,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
93,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
97,Carutapera,BR,75.0,overcast clouds,-1.195,-46.02,Lidera
102,Camargo,MX,77.5,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
109,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
116,La Libertad,EC,73.06,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
120,Hithadhoo,MV,80.19,overcast clouds,-0.6,73.0833,Scoop Guest House
121,Kutum,SD,73.02,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
125,Korla,CN,81.75,broken clouds,41.7597,86.1469,Gulisitan Hotel
126,Victoria,HK,83.97,scattered clouds,22.2855,114.1577,Mini Hotel Central
127,Sao Felix Do Xingu,BR,72.81,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
130,Mahibadhoo,MV,82.6,overcast clouds,3.7833,72.9667,Omadhoo Inn
136,Wamba,NG,74.73,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
137,Zharkent,KZ,74.52,overcast clouds,44.1628,80.0,гостиница Satti
138,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
139,Uchiza,PE,72.61,broken clouds,-8.4592,-76.4633,Hotel San Pedro
140,Meulaboh,ID,81.59,overcast clouds,4.1363,96.1285,Kost Pria
145,Katobu,ID,85.62,light rain,-4.9408,122.5276,La Ode Husein
148,Pingliang,CN,75.88,clear sky,35.5392,106.6861,North Gate Hostel
152,Faanui,PF,81.91,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
153,Hervey Bay,AU,79.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
154,Mareeba,AU,82.49,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
155,Mandera,KE,77.85,clear sky,3.9366,41.867,Red Sea Resort & Suites Mandera County
156,Butaritari,KI,81.84,few clouds,3.0707,172.7902,Isles Sunset Lodge
157,Namibe,AO,77.13,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
158,Sakaiminato,JP,76.98,clear sky,35.55,133.2333,Matsuya
159,Mazatlan,MX,72.91,clear sky,23.2167,-106.4167,Hotel La Siesta
161,Bengkulu,ID,84.06,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
163,Naze,JP,74.32,overcast clouds,28.3667,129.4833,Shishime Hotel
164,Sao Filipe,CV,71.08,few clouds,14.8961,-24.4956,Hotel Xaguate
166,Corrales,US,72.48,clear sky,35.2378,-106.6067,Quality Inn
167,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
169,Ishigaki,JP,71.73,light intensity shower rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
170,Iwaki,JP,76.77,clear sky,37.05,140.8833,Toyoko Inn Iwaki Ekimae
173,Aloleng,PH,85.87,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
174,Bonthe,SL,79.09,light rain,7.5264,-12.505,Bonthe Holiday Village
182,Sambava,MG,74.61,scattered clouds,-14.2667,50.1667,Melrose
183,Le Port,RE,75.25,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
186,Airai,TL,74.61,scattered clouds,-8.9266,125.4092,
190,Batemans Bay,AU,75.07,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
193,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
195,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
198,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
202,Ndele,CF,72.77,light rain,8.4109,20.6473,
203,Moussoro,TD,84.61,overcast clouds,13.6408,16.4901,Hôtel Salama
207,Dicabisagan,PH,87.69,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
208,Rincon,US,74.86,broken clouds,32.296,-81.2354,Days Inn Rincon
210,Kavaratti,IN,85.8,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
211,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
216,Tezpur,IN,79.5,broken clouds,26.6333,92.8,Hotel Kanyapur
219,Laguna,US,73.54,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
220,Basoko,CD,72.27,overcast clouds,1.2391,23.616,Jackyna Hotel
228,Bontang,ID,86.36,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
230,Tura,IN,84.65,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
231,Ballina,AU,77.02,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
234,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
238,Hobyo,SO,82.83,light rain,5.3505,48.5268,Iftin hotel hobyo
242,Bilma,NE,84.13,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
243,Antsohihy,MG,74.86,clear sky,-14.8796,47.9875,Hotel de Ville
245,Luanda,AO,74.48,clear sky,-8.8368,13.2343,EPIC SANA Luanda
250,Aksu,CN,78.89,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
251,Kipit,PH,85.95,overcast clouds,8.0461,122.5322,Sunflower Lodge
252,Becerril,CO,78.73,overcast clouds,9.7041,-73.2793,Barrio El Carmen
253,Bandarbeyla,SO,84.42,overcast clouds,9.4942,50.8122,JABIR HOTEL
254,Karratha,AU,89.31,clear sky,-20.7377,116.8463,ibis Styles Karratha
263,Teahupoo,PF,75.16,light rain,-17.8333,-149.2667,Vanira Lodge
264,Harper,LR,80.11,clear sky,4.375,-7.7169,Screensaver
274,Pochutla,MX,81.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
278,Nanakuli,US,76.37,few clouds,21.3906,-158.1547,Camp Pālehua
283,Gizo,SB,84.34,light rain,-8.103,156.8419,Imagination Island
285,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
286,Samarai,PG,83.8,few clouds,-10.6167,150.6667,Nuli Sapi
287,Alamos,MX,73.4,overcast clouds,27.0167,-108.9333,Luz del Sol
289,Kirakira,SB,83.41,scattered clouds,-10.4544,161.9205,SanBiz Lodge
293,Nushki,PK,80.01,clear sky,29.5542,66.0215,Shams hotel
298,Puri,IN,88.32,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
302,Zhuhai,CN,86.86,clear sky,22.2769,113.5678,珠海粤财假日酒店
304,Nanchang,CN,79.48,overcast clouds,28.6833,115.8833,Ruidu Hotel
305,Poum,NC,77.63,clear sky,-20.2333,164.0167,
308,Kieta,PG,84.13,light rain,-6.2167,155.6333,Uruna Bay Retreat
314,Jimo,CN,80.38,clear sky,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
315,Buraydah,SA,72.05,clear sky,26.326,43.975,Mövenpick Qassim
316,Mabaruma,GY,72.82,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
317,Shingu,JP,71.8,broken clouds,33.7333,135.9833,Shingu UI Hotel
318,Avera,US,71.65,scattered clouds,33.194,-82.5271,
320,Altamira,BR,71.69,moderate rain,-3.2033,-52.2064,Requinte Hotel
321,Souillac,MU,76.66,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
326,Cabo San Lucas,MX,74.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
331,Nanfeng,CN,81.54,overcast clouds,23.7434,111.7959,Nanfeng Hotel
332,Kavieng,PG,84.43,light rain,-2.5744,150.7967,Nusa Island Retreat
334,Yulara,AU,75.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
335,Marawi,PH,79.84,broken clouds,7.9986,124.2928,Derogongan Residence
338,Kerema,PG,80.38,light rain,-7.9631,145.7785,Frena Lodge
341,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
346,Taoudenni,ML,82.27,overcast clouds,22.6783,-3.9836,
348,Boundiali,CI,73.92,broken clouds,9.5217,-6.4869,Hotel Paysan Boundiali
349,Emerald,AU,82.54,few clouds,-23.5333,148.1667,The Irish Village
350,Guadalupe Victoria,MX,78.12,scattered clouds,32.2869,-115.105,Hotel Dial
357,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
358,Xiaoweizhai,CN,73.22,broken clouds,26.1903,107.5125,Karst Youth Hostel
359,Salalah,OM,88.65,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
360,Biltine,TD,84.52,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
361,Chabahar,IR,82.11,clear sky,25.2919,60.643,هتل گدروشیا
362,Anito,PH,85.93,few clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
364,Coahuayana,MX,72.27,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
366,Kindu,CD,70.16,overcast clouds,-2.95,25.95,Résidence Okanda
368,Pahrump,US,70.84,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
370,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
371,Luwuk,ID,86.22,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
373,Tautira,PF,81.37,light rain,-17.7333,-149.15,Pension Oaoa
374,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
375,Linxia,CN,70.88,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
376,Sapele,NG,76.8,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
378,Goundam,ML,82.11,broken clouds,16.4145,-3.6708,
382,Marsh Harbour,BS,76.3,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
396,Wucheng,CN,79.72,broken clouds,29.6008,118.175,Xiuwu Restaurant
398,Sao Joao Da Barra,BR,74.39,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
400,Mahajanga,MG,73.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
406,Porto Novo,BJ,78.64,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
