City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,27.63,light intensity shower rain
1,Severo-Kurilsk,RU,50.6789,156.125,35.2,99,100,10.94,light snow
2,Tuatapere,NZ,-46.1333,167.6833,61.83,72,37,2.17,scattered clouds
3,Khatanga,RU,71.9667,102.5,21.97,94,100,8.46,light snow
4,Chapais,CA,49.7834,-74.8492,42.58,96,100,9.95,overcast clouds
5,Olafsvik,IS,64.8945,-23.7142,33.85,63,64,9.57,broken clouds
6,Marrakesh,MA,31.6315,-8.0083,57.27,72,40,5.75,scattered clouds
7,Hasaki,JP,35.7333,140.8333,75.29,58,0,21.77,clear sky
8,Port Elizabeth,ZA,-33.918,25.5701,63.32,95,0,9.22,clear sky
9,Ribeira Grande,PT,38.5167,-28.7,62.33,88,53,11.34,broken clouds
10,Khatassy,RU,61.9036,129.6383,44.58,70,100,6.06,overcast clouds
11,Paramonga,PE,-10.6667,-77.8333,64.87,89,11,4.94,few clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,71.91,90,72,5.97,broken clouds
13,Teguise,ES,29.0605,-13.564,59.22,72,0,11.5,clear sky
14,Hilo,US,19.7297,-155.09,74.28,94,100,5.99,heavy intensity rain
15,Saskylakh,RU,71.9167,114.0833,28.9,85,100,8.86,overcast clouds
16,Nikolskoye,RU,59.7035,30.7861,37.71,91,100,8.81,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,77.59,80,100,17.09,light rain
18,Grand Gaube,MU,-20.0064,57.6608,76.37,86,25,1.01,light rain
19,Katsuura,JP,35.1333,140.3,67.17,60,2,18.59,clear sky
20,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,50,12.48,light rain
21,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,82,40,6.35,scattered clouds
22,Isla Mujeres,MX,21.2311,-86.731,80.17,82,0,11.97,clear sky
23,Atuona,PF,-9.8,-139.0333,79.23,79,100,18.61,overcast clouds
24,Esperance,AU,-33.8667,121.9,60.64,54,100,11.9,overcast clouds
25,Husavik,IS,66.0449,-17.3389,31.26,95,100,13.31,light snow
26,Matay,EG,28.419,30.7792,64.87,78,18,12.57,few clouds
27,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,56,75,6.71,broken clouds
28,Shimoda,JP,34.6667,138.95,70.16,57,25,14.94,scattered clouds
29,Neiafu,TO,-18.65,-173.9833,81.28,69,75,5.75,broken clouds
30,Qaanaaq,GL,77.484,-69.3632,18.12,75,100,5.48,overcast clouds
31,Catuday,PH,16.2923,119.8062,83.8,67,90,6.33,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,38.86,70,20,6.91,few clouds
33,Mataura,NZ,-46.1927,168.8643,64.47,70,24,0.67,few clouds
34,Dabhol,IN,17.6,73.1667,88.05,55,4,7.29,clear sky
35,Arraial Do Cabo,BR,-22.9661,-42.0278,75.11,87,1,17.6,clear sky
36,Cockburn Town,TC,21.4612,-71.1419,77.79,87,36,22.66,scattered clouds
37,Pevek,RU,69.7008,170.3133,27.19,79,47,3.62,scattered clouds
38,Denpasar,ID,-8.65,115.2167,87.46,79,20,12.66,few clouds
39,Isangel,VU,-19.55,169.2667,84.31,74,6,5.75,clear sky
40,Tahta,EG,26.7693,31.5021,72.32,55,47,15.43,scattered clouds
41,Barrow,US,71.2906,-156.7887,21.22,86,100,11.5,overcast clouds
42,Darhan,MN,49.4867,105.9228,59.63,34,99,11.97,overcast clouds
43,Agirish,RU,61.9247,63.0231,44.91,75,100,13.82,overcast clouds
44,Hermanus,ZA,-34.4187,19.2345,61.81,93,10,7.72,clear sky
45,Manicore,BR,-5.8092,-61.3003,74.73,97,100,2.21,overcast clouds
46,Kongolo,CD,-5.3833,27.0,66.92,97,29,3.4,scattered clouds
47,Acajutla,SV,13.5928,-89.8275,83.41,78,77,5.95,light rain
48,Hobart,AU,-42.8794,147.3294,58.26,80,75,8.05,light rain
49,Cape Town,ZA,-33.9258,18.4232,63.91,87,14,11.99,few clouds
50,Pandan,PH,14.0453,124.1694,86.49,64,40,11.77,scattered clouds
51,Albany,US,42.6001,-73.9662,54.01,77,100,3.0,overcast clouds
52,Shirokiy,RU,49.758,129.523,51.58,54,100,20.69,overcast clouds
53,Kitui,KE,-1.367,38.0106,60.75,92,19,2.82,few clouds
54,Hovd,MN,48.0056,91.6419,58.55,39,54,10.89,broken clouds
55,Dingle,PH,10.9995,122.6711,88.16,60,100,11.68,overcast clouds
56,Abnub,EG,27.2696,31.1511,71.82,61,59,12.73,broken clouds
57,Mbanza-Ngungu,CD,-5.25,14.8667,66.78,94,90,3.2,light rain
58,Kapaa,US,22.0752,-159.319,80.58,81,100,18.41,light rain
59,De Aar,ZA,-30.6497,24.0123,57.25,52,0,2.53,clear sky
60,Kokstad,ZA,-30.5472,29.4241,49.55,66,0,4.27,clear sky
61,Port Alfred,ZA,-33.5906,26.891,61.18,96,24,8.03,few clouds
62,Gusau,NG,12.1628,6.6614,83.3,48,99,7.29,overcast clouds
63,Te Anau,NZ,-45.4167,167.7167,60.94,63,57,0.69,broken clouds
64,Bluff,NZ,-46.6,168.3333,64.8,71,29,3.4,scattered clouds
65,Toora-Khem,RU,52.4675,96.11,45.21,33,70,17.72,broken clouds
66,Ancud,CL,-41.8697,-73.8203,53.19,98,100,8.9,overcast clouds
67,Grindavik,IS,63.8424,-22.4338,34.27,80,75,13.8,broken clouds
68,Nizhniy Odes,RU,63.6445,54.856,35.83,85,100,9.69,overcast clouds
69,Mountain Home,US,43.133,-115.6912,53.08,58,20,18.41,few clouds
70,Bathsheba,BB,13.2167,-59.5167,79.41,83,40,13.8,scattered clouds
71,Buguruslan,RU,53.6554,52.442,51.85,52,1,9.64,clear sky
72,Vengurla,IN,15.8667,73.6333,88.07,60,82,6.6,broken clouds
73,Namatanai,PG,-3.6667,152.4333,84.72,73,40,6.4,light rain
74,Asau,RO,46.4333,26.4,50.95,83,91,2.95,overcast clouds
75,Dunedin,NZ,-45.8742,170.5036,57.79,77,12,7.0,few clouds
76,Bethel,US,41.3712,-73.414,51.89,85,100,6.91,overcast clouds
77,Camacha,PT,33.0833,-16.3333,60.22,67,75,9.22,broken clouds
78,Pangnirtung,CA,66.1451,-65.7125,1.71,95,77,7.34,broken clouds
79,Campos Altos,BR,-19.6961,-46.1714,66.25,58,52,4.23,broken clouds
80,Flinders,AU,-34.5833,150.8552,78.19,58,21,7.0,few clouds
81,Lebu,CL,-37.6167,-73.65,52.65,91,99,15.7,overcast clouds
82,Carnarvon,AU,-24.8667,113.6333,84.27,26,4,13.8,clear sky
83,Brande,DK,55.9381,9.1218,42.75,86,41,5.48,scattered clouds
84,Solnechnyy,RU,50.7214,136.6319,41.79,70,82,5.14,broken clouds
85,New Norfolk,AU,-42.7826,147.0587,57.92,84,100,2.86,overcast clouds
86,Northam,GB,51.0333,-4.2167,49.6,96,71,6.29,broken clouds
87,Lagoa,PT,39.05,-27.9833,61.12,88,40,7.2,scattered clouds
88,Srikakulam,IN,18.3,83.9,91.29,55,33,13.2,scattered clouds
89,San Patricio,US,28.017,-97.5169,80.46,92,6,10.47,clear sky
90,Lukovetskiy,RU,64.2956,41.9211,29.86,79,100,11.34,overcast clouds
91,Altamont,US,42.2068,-121.7372,57.04,44,0,9.22,clear sky
92,Mehamn,NO,71.0357,27.8492,24.75,80,100,16.11,overcast clouds
93,Kahului,US,20.8947,-156.47,78.82,70,40,18.41,scattered clouds
94,Opuwo,NA,-18.0607,13.84,58.93,54,0,6.08,clear sky
95,Holme,DK,56.1138,10.1725,43.18,88,34,0.92,scattered clouds
96,San Quintin,MX,30.4833,-115.95,56.97,81,15,7.02,few clouds
97,Carutapera,BR,-1.195,-46.02,75.0,95,100,3.53,overcast clouds
98,Diamantino,BR,-14.4086,-56.4461,66.69,91,99,8.46,overcast clouds
99,Bredasdorp,ZA,-34.5322,20.0403,58.03,98,33,1.92,scattered clouds
100,Waddan,LY,29.1614,16.139,62.96,45,42,9.35,scattered clouds
101,East London,ZA,-33.0153,27.9116,63.54,100,40,4.61,scattered clouds
102,Camargo,MX,27.6667,-105.1667,77.5,8,36,10.02,scattered clouds
103,Tasiilaq,GL,65.6145,-37.6368,21.88,93,100,6.24,light snow
104,Yerbogachen,RU,61.2767,108.0108,33.62,79,100,13.53,light snow
105,Cherskiy,RU,68.75,161.3,34.75,98,100,10.51,overcast clouds
106,Vardo,NO,70.3705,31.1107,27.61,65,97,21.56,light snow
107,Ippy,CF,6.2679,21.2247,68.81,94,95,2.73,light rain
108,Ilulissat,GL,69.2167,-51.1,14.23,97,100,9.08,overcast clouds
